Country Name,2018,2019,2020,2021
Afghanistan,578.9855448,584.3865153,553.036131,426.2294013
Albania,4431.555607,4543.387723,4418.660885,4857.111955
Algeria,4188.220371,4153.003441,3873.508733,3939.360851
Andorra,39320.09245,39413.79088,34394.41404,36616.10076
Angola,2677.249833,2569.701651,2346.846019,2300.974614
Antigua and Barbuda,16957.63268,17599.96872,14433.8798,15288.43788
Argentina,13105.39716,12716.2242,11341.26837,12402.49079
Armenia,4215.899398,4561.967803,4256.131232,4522.319045
Aruba,31705.27882,31762.73396,25823.63494,30271.83363
Australia,58479.50355,58868.48063,58115.93067,59339.68435
Austria,46154.6251,46647.08096,43455.70007,45238.39071
Azerbaijan,5262.369637,5348.454136,5083.561155,5345.440811
"Bahamas, The",30181.18406,29760.3414,22657.03516,26412.01211
Bahrain,23023.11978,23414.21907,22579.36201,23407.19585
Bangladesh,1460.304234,1557.964334,1593.347407,1684.433487
Barbados,17220.931,17168.14569,14855.68986,14800.83815
Belarus,6165.958532,6267.765795,6252.009473,6457.751946
Belgium,42382.31828,43107.21482,40620.10422,42971.05804
Belize,5756.852249,5907.348872,5040.122521,5733.102574
Benin,1111.22724,1153.72621,1164.708967,1214.07759
Bermuda,106697.7375,107036.2393,99745.24161,102959.2549
Bhutan,3065.853525,3219.641439,2878.435707,2976.90442
Bolivia,3219.200892,3242.948845,2920.197447,3061.738613
Bosnia and Herzegovina,5339.478137,5558.082553,5459.220722,5947.820509
Botswana,6418.577655,6485.46044,5810.757427,6394.984433
Brazil,8553.864918,8592.210218,8255.567064,8621.73059
Brunei,29437.86851,30313.41729,30401.84726,29673.16927
Bulgaria,7866.825981,8242.313996,7963.690754,8641.818899
Burkina Faso,696.0445709,716.0121974,710.4713551,739.6727249
Burundi,274.1319084,270.1372773,263.3609886,264.3648329
Cambodia,1384.968023,1465.969535,1404.198655,1429.937027
Cameroon,1445.267771,1454.564069,1419.328208,1432.862689
Canada,44917.48373,45113.06628,42366.48714,44234.54214
Cape Verde,3463.812834,3690.656476,2949.579204,3122.159819
Cayman Islands,80597.70864,82170.59303,76609.76853,78731.14741
Central African Republic,378.2630778,381.4140464,375.2169241,370.6757503
Chad,653.3497615,652.703216,622.2785063,595.6637866
Chile,13906.77056,13761.37447,12741.15751,14095.78224
China,9619.20998,10155.51142,10358.17054,11223.15337
Colombia,6320.990748,6404.108766,5852.983235,6423.859895
Comoros,1383.377872,1381.622238,1352.955492,1355.538811
"Congo, Dem. Rep.",489.3823745,494.8192476,487.433133,501.2390883
"Congo, Rep.",1774.613907,1731.799886,1586.318302,1515.893872
Costa Rica,12470.95742,12662.42285,12030.04859,12888.46631
Cote d'Ivoire,2168.913442,2252.543316,2234.909473,2333.353122
Croatia,13665.71441,14211.75543,13048.74429,15396.10885
Cuba,8048.01661,8042.948524,7172.519257,7291.067885
Cyprus,27241.11523,28360.03125,26814.32227,28329.31641
Czech Republic,19689.5827,20206.42564,19048.08685,20085.45803
Denmark,56563.48847,57203.02779,55898.79003,58359.58399
Djibouti,2714.351648,2820.062866,2811.649531,2905.560874
Dominica,7586.646141,7936.304818,6566.364208,6978.470497
Dominican Republic,7894.955179,8205.142578,7571.782808,8410.60583
East Timor,1257.646779,1530.81108,1988.982525,2061.018901
Ecuador,5976.245345,5863.910566,5331.976611,5492.489271
"Egypt, Arab Rep.",3635.420582,3769.03577,3835.784215,3896.842853
El Salvador,4009.716557,4105.646168,3774.666183,4182.352078
Estonia,19611.61099,20269.57514,20118.10507,21707.24075
Eswatini,3696.359849,3766.062999,3672.65335,3923.577333
Ethiopia(excludes Eritrea),744.3675294,785.4849817,811.2555499,834.9913016
Faeroe Islands,54506.38844,56402.39445,54150.65174,56689.34607
Fiji,5708.91143,5678.969942,4703.509807,4442.869411
Finland,45627.91989,46135.88142,44984.73445,46259.19692
Fm Sudan,2051.979004,1950.031616,1828.150146,1746.182861
France,38259.69777,38832.0242,35712.0752,38045.90216
French Polynesia,19425.17237,19807.29314,18286.3746,18595.16793
Gabon,6786.89035,6893.323106,6619.688603,6577.411772
"Gambia, The",645.9381857,668.6351211,655.5761178,666.4710849
Georgia,4539.004182,4773.335666,4447.582589,4931.733169
Germany,42928.74124,43284.60246,41650.42271,42726.48532
Ghana,1899.808593,1981.613928,1951.064644,2014.713874
Greece,18647.49572,19018.90212,17343.60999,18907.84914
